"","name","year","F","M","greatermale"
"426","Abbegale",2010,82,0,FALSE
"427","Abbegayle",2009,73,0,FALSE
"428","Abbey",2004,0,35,TRUE
"429","Abbey",2016,17044,0,FALSE
"430","Abbeygail",2014,66,0,FALSE
"431","Abbeygale",2007,22,0,FALSE
"432","Abbi",2016,1984,0,FALSE
"433","Abbie",1959,0,325,TRUE
"434","Abbie",2016,21266,0,FALSE
"435","Abbiegail",2014,237,0,FALSE
"436","Abbiegale",2012,58,0,FALSE
"437","Abbiegayle",2013,18,0,FALSE
"438","Abbigael",2014,162,0,FALSE
"439","Abbigail",2004,0,5,TRUE
"440","Abbigail",2016,11286,0,FALSE
"441","Abbigaile",2013,91,0,FALSE
"442","Abbigal",2015,157,0,FALSE
"443","Abbigale",2016,2102,0,FALSE
"444","Abbigayl",2008,29,0,FALSE
"445","Abbigayle",2016,1287,0,FALSE
"446","Abbilyn",2011,12,0,FALSE
"447","Abbot",2016,0,23,TRUE
"448","Abbott",2015,24,0,FALSE
"449","Abbott",2016,0,936,TRUE
"450","Abbra",1985,36,0,FALSE
"451","Abbriella",2014,25,0,FALSE
"452","Abbrielle",2012,83,0,FALSE
"453","Abby",2009,0,181,TRUE
"454","Abby",2016,56869,0,FALSE
"455","Abbye",2010,184,0,FALSE
"456","Abbygael",2013,70,0,FALSE
"457","Abbygail",2016,3299,0,FALSE
"458","Abbygaile",2013,47,0,FALSE
"459","Abbygale",2016,762,0,FALSE
"460","Abbygayl",2008,6,0,FALSE
"461","Abbygayle",2016,438,0,FALSE
"462","Abbylynn",2014,18,0,FALSE
"463","Abcde",2016,367,0,FALSE
"464","Abd",2007,0,17,TRUE
"465","Abdala",2006,0,6,TRUE
"466","Abdalah",2007,0,6,TRUE
"467","Abdalla",2016,0,282,TRUE
"468","Abdallah",2016,0,1189,TRUE
"469","Abdalrahman",2016,0,160,TRUE
"470","Abdalrhman",2012,0,5,TRUE
"471","Abdel",2016,0,542,TRUE
"472","Abdelaziz",2016,0,100,TRUE
"473","Abdelhadi",2006,0,5,TRUE
"474","Abdelhamid",2016,0,5,TRUE
"475","Abdelkareem",2004,0,10,TRUE
"476","Abdelkarim",2016,0,32,TRUE
"477","Abdellah",2015,0,24,TRUE
"478","Abdelrahman",2016,0,554,TRUE
"479","Abdelrhman",2010,0,6,TRUE
"480","Abderrahman",2012,0,5,TRUE
"481","Abdi",2006,10,0,FALSE
"482","Abdi",2016,0,256,TRUE
"483","Abdia",2016,5,0,FALSE
"484","Abdias",2016,0,567,TRUE
"485","Abdiasis",2008,0,6,TRUE
"486","Abdiaziz",2016,0,138,TRUE
"487","Abdiel",2016,0,3776,TRUE
"488","Abdifatah",2016,0,204,TRUE
"489","Abdihafid",2016,0,16,TRUE
"490","Abdihakim",2016,0,36,TRUE
"491","Abdihamid",2002,0,5,TRUE
"492","Abdikadir",2016,0,132,TRUE
"493","Abdikarim",2014,0,21,TRUE
"494","Abdikhaliq",2011,0,5,TRUE
"495","Abdilahi",2012,0,10,TRUE
"496","Abdimalik",2016,0,183,TRUE
"497","Abdinajib",2013,0,5,TRUE
"498","Abdinasir",2016,0,156,TRUE
"499","Abdiqani",2016,0,27,TRUE
"500","Abdirahim",2016,0,69,TRUE
"501","Abdirahin",2015,0,6,TRUE
"502","Abdirahman",2016,0,1526,TRUE
"503","Abdirashid",2016,0,32,TRUE
"504","Abdirisaq",2013,0,12,TRUE
"505","Abdirizak",2016,0,81,TRUE
"506","Abdisalam",2004,0,5,TRUE
"507","Abdisalan",2007,0,6,TRUE
"508","Abdisamad",2015,0,23,TRUE
"509","Abdishakur",2016,0,53,TRUE
"510","Abdiwahab",2013,0,19,TRUE
"511","Abdiwali",2011,0,5,TRUE
"512","Abdo",2016,0,52,TRUE
"513","Abdon",2015,0,359,TRUE
"514","Abdou",2016,0,213,TRUE
"515","Abdoul",2016,0,418,TRUE
"516","Abdoulaye",2016,0,622,TRUE
"517","Abdoulaziz",2011,0,10,TRUE
"518","Abdoulie",2012,0,110,TRUE
"519","Abdourahman",2006,0,5,TRUE
"520","Abdourahmane",2009,0,18,TRUE
"521","Abdrahman",2013,0,15,TRUE
"522","Abdrew",1988,0,6,TRUE
"523","Abdu",2012,0,32,TRUE
"524","Abdual",1978,0,17,TRUE
"525","Abduallah",2016,0,32,TRUE
"526","Abduel",1975,0,5,TRUE
"527","Abdul",2016,0,5594,TRUE
"528","Abdula",2000,0,39,TRUE
"529","Abdulah",2010,0,75,TRUE
"530","Abdulahad",2016,0,69,TRUE
"531","Abdulahi",2016,0,395,TRUE
"532","Abdulai",2016,0,83,TRUE
"533","Abdulaye",2011,0,5,TRUE
"534","Abdulazeem",2009,0,5,TRUE
"535","Abdulazeez",2009,0,25,TRUE
"536","Abdulaziz",2016,0,1173,TRUE
"537","Abdulbari",2012,0,5,TRUE
"538","Abdulbasit",2012,0,13,TRUE
"539","Abdule",1974,0,6,TRUE
"540","Abdulelah",2016,0,28,TRUE
"541","Abdulhaadi",2016,0,5,TRUE
"542","Abdulhadi",2016,0,108,TRUE
"543","Abdulhakeem",2016,0,38,TRUE
"544","Abdulhakim",2008,0,16,TRUE
"545","Abdulhalim",2000,0,5,TRUE
"546","Abdulhameed",2016,0,11,TRUE
"547","Abdulhamid",2016,0,60,TRUE
"548","Abduljabbar",2013,0,16,TRUE
"549","Abduljaleel",2011,0,5,TRUE
"550","Abduljalil",2008,0,5,TRUE
"551","Abdulkadir",2016,0,115,TRUE
"552","Abdulkareem",2016,0,172,TRUE
"553","Abdulkarim",2016,0,134,TRUE
"554","Abdulkhaliq",2016,0,13,TRUE
"555","Abdull",1981,0,5,TRUE
"556","Abdulla",2016,0,424,TRUE
"557","Abdullah",2016,0,6536,TRUE
